Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,PosSummary,Runoff,Special,VeteransCommittee,NegroLeagues,position,1B,RF,LF,CF,C,3B,2B,SS,DH,OF,AS.total,AS.percent,drugs,gold1,gold2,gold3,mvp1,mvp2,cy1,cy2,rookie,oneteam,Year,Votes,NumBallots
Eric Gagne,46,17,10,9.4,10.4,10,34.4,402,86,5,12,1,3,0,1,0.14,0.149,0.221,0.37,-4,33,26,3.47,119,1.156,402,48,187,643.2,518,76,226,718,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,3,0.3,1,0,0,0,0,0,1,0,0,0,2014,NA,NA
J.T. Snow,16,16,16,8.5,11.2,9.9,54,1716,5641,798,1509,189,877,20,760,0.268,0.357,0.427,0.784,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3/D,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,NA,NA
Todd Jones,78,3,16,8.4,9.7,9.1,34.4,982,19,1,4,0,0,0,1,0.211,0.25,0.263,0.513,36,58,63,3.97,111,1.413,982,1,319,1072,1072,93,443,868,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,1,0.0625,0,0,0,0,0,0,0,0,0,0,2014,NA,NA
Craig Biggio,169,57,20,62.1,40.6,51.3,54.4,2850,10876,1844,3060,291,1175,414,1160,0.281,0.363,0.433,0.796,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4*287/D9,0,0,0,0,2B,0,0,0,0,0,0,1,0,0,0,7,0.35,0,0,1,0,0,0,0,0,0,1,2013,388,569
Mike Piazza,207,62,16,56.1,40.7,48.4,40.7,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2D3,0,0,0,0,C,0,0,0,0,1,0,0,0,0,0,12,0.75,0,0,0,0,0,0,0,0,1,0,2013,329,569
Curt Schilling,171,46,20,76.1,46.7,61.4,57.9,571,773,39,117,0,29,1,25,0.151,0.178,0.171,0.348,-9,216,146,3.46,127,1.137,569,436,22,3261,2998,347,711,3116,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,6,0.3,0,0,0,0,0,0,0,0,0,0,2013,221,569
Roger Clemens,332,73,24,133.9,64,99,57.9,709,179,5,31,0,12,0,13,0.173,0.236,0.207,0.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,11,0.458333333333333,1,0,0,0,1,0,0,1,0,0,2013,214,569
Barry Bonds,340,76,22,158.1,71.1,114.6,50.7,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*78D/9,0,0,0,0,LF,0,0,1,0,0,0,0,0,0,0,14,0.636363636363636,1,0,0,1,0,1,0,0,0,0,2013,206,569
Sammy Sosa,202,52,18,54.8,42.2,48.5,55.4,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*98D/7,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,7,0.388888888888889,0,0,0,0,1,0,0,0,0,0,2013,71,569
Kenny Lofton,91,42,17,64.9,42,53.5,54.8,2103,8120,1528,2428,130,781,622,945,0.299,0.372,0.423,0.794,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*87/D9,0,0,0,0,CF,0,0,0,1,0,0,0,0,0,0,6,0.352941176470588,0,0,1,0,0,0,0,0,0,0,2013,18,569
Sandy Alomar,48,24,20,11.6,11.8,11.7,40.7,1377,4530,520,1236,112,588,25,212,0.273,0.309,0.406,0.716,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2/D3,0,0,0,0,C,0,0,0,0,1,0,0,0,0,0,7,0.35,0,1,0,0,0,0,0,0,1,0,2013,16,569
Julio Franco,58,42,23,39.7,29.1,34.4,54.4,2527,8677,1285,2586,173,1194,281,917,0.298,0.365,0.417,0.782,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6*4*3*D/579,0,0,0,0,SS,0,0,0,0,0,0,0,1,0,0,3,0.130434782608696,0,0,0,0,0,0,0,0,0,0,2013,6,569
David Wells,88,40,21,49.2,29,39.1,57.9,660,178,8,23,0,5,0,3,0.129,0.148,0.14,0.289,-22,239,157,4.13,108,1.266,660,489,13,3439,3635,407,719,2201,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,3,0.142857142857143,0,0,0,0,0,0,0,0,0,0,2013,5,569
Steve Finley,72,36,19,40.4,30.4,35.4,54.8,2583,9397,1443,2548,304,1167,320,844,0.271,0.332,0.442,0.775,104,0,0,0,NA,1,1,0,0,1,0,0,1,0,*897/D1,0,0,0,0,CF,0,0,0,1,0,0,0,0,0,0,2,0.105263157894737,0,0,1,0,0,0,0,0,0,0,2013,4,569
Shawn Green,62,33,15,31.4,29.5,30.4,55.4,1951,7082,1129,2003,328,1070,162,744,0.283,0.355,0.494,0.85,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9387D,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,2,0.133333333333333,0,1,0,0,0,0,0,0,0,0,2013,2,569
Aaron Sele,21,15,15,17.5,17.6,17.5,57.9,404,58,5,9,0,1,0,3,0.155,0.197,0.19,0.386,1,148,112,4.61,100,1.491,404,352,0,2153,2413,225,798,1407,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,2,0.133333333333333,0,0,0,0,0,0,0,0,0,0,2013,1,569
Jeff Cirillo,37,23,14,32,28.7,30.3,53.4,1617,5396,800,1598,112,727,63,563,0.296,0.366,0.43,0.796,102,0,0,0,NA,2,1,0,0,1,0,0,2,1,*534D/671,0,0,0,0,3B,0,0,0,0,0,1,0,0,0,0,2,0.142857142857143,0,0,0,0,0,0,0,0,0,0,2013,0,569
