Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,PosSummary,Runoff,Special,VeteransCommittee,NegroLeagues,position,1B,RF,LF,CF,C,3B,2B,SS,DH,OF,AS.total,AS.percent,drugs,gold1,gold2,gold3,mvp1,mvp2,cy1,cy2,rookie,oneteam,Year,Votes,NumBallots
Raul Mondesi,21,20,13,27,23.5,25.3,55.4,1525,5814,909,1589,271,860,229,475,0.273,0.331,0.485,0.815,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*987/D,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,1,0.0769230769230769,0,0,1,0,0,0,0,0,1,0,2011,0,581
Carlos Baerga,44,19,14,17.2,20.3,18.8,54.4,1630,5439,731,1583,134,774,59,291,0.291,0.332,0.423,0.754,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*453D6,0,0,0,0,2B,0,0,0,0,0,0,1,0,0,0,3,0.214285714285714,0,0,0,0,0,0,0,0,0,0,2011,0,581
Kirk Rueter,11,14,13,14.4,13.3,13.8,57.9,349,622,44,95,0,40,1,27,0.153,0.187,0.167,0.354,-6,130,92,4.27,97,1.394,340,336,0,1918,2092,220,582,818,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0,581
Roberto Alomar,194,57,17,62.9,40.9,51.9,54.4,2379,9073,1508,2724,210,1134,474,1032,0.3,0.371,0.443,0.814,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4/D6,0,0,0,0,2B,0,0,0,0,0,0,1,0,0,0,12,0.705882352941177,0,0,0,1,0,0,0,0,0,0,2010,397,539
Barry Larkin,120,47,19,67.1,41.7,54.4,52.1,2180,7937,1329,2340,198,960,379,939,0.295,0.371,0.444,0.815,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6/4D,0,0,0,0,SS,0,0,0,0,0,0,0,1,0,0,12,0.631578947368421,0,0,1,0,1,0,0,0,0,1,2010,278,539
Edgar Martinez,132,50,18,64.4,41.8,53.1,53.4,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*D*5/3,0,0,0,0,DH,0,0,0,0,0,0,0,0,1,0,7,0.388888888888889,0,0,0,0,0,0,0,0,0,1,2010,195,539
Fred McGriff,100,48,19,48.2,33.2,40.7,51.5,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,5,0.263157894736842,0,0,0,0,0,0,0,0,0,0,2010,116,539
Andres Galarraga,114,35,19,28.3,24.8,26.5,51.5,2257,8096,1195,2333,399,1425,128,583,0.288,0.347,0.499,0.846,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D/5,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,5,0.263157894736842,0,0,1,0,0,0,0,0,0,0,2010,22,539
Robin Ventura,34,30,16,52.3,36.5,44.4,53.4,2079,7064,1006,1885,294,1182,24,1075,0.267,0.362,0.444,0.806,114,0,0,0,NA,1,1,0,0,1,1,0,0,0,*53/D416,0,0,0,0,3B,0,0,0,0,0,1,0,0,0,0,2,0.125,0,0,0,1,0,0,0,0,0,0,2010,7,539
Eric Karros,30,17,14,7.7,11.9,9.8,51.5,1755,6441,797,1724,284,1027,59,552,0.268,0.325,0.454,0.779,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3/D,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2010,2,539
Ellis Burks,52,42,18,46.3,30.4,38.3,54.8,2000,7232,1253,2107,352,1206,181,793,0.291,0.363,0.51,0.874,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*9*D7,0,0,0,0,CF,0,0,0,1,0,0,0,0,0,0,2,0.111111111111111,0,1,0,0,0,0,0,0,0,0,2010,2,539
Kevin Appier,32,24,16,51.5,41.3,46.4,57.9,414,83,4,8,0,4,0,1,0.096,0.118,0.096,0.214,-42,169,137,3.74,121,1.294,414,402,0,2595.1,2425,232,933,1994,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,1,0.0625,0,0,0,0,0,0,0,0,0,0,2010,1,539
David Segui,15,16,15,7.8,11,9.4,51.5,1456,4847,683,1412,139,684,17,524,0.291,0.359,0.443,0.802,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D7/9,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2010,1,539
Pat Hentgen,37,12,14,30,28.6,29.3,57.9,344,84,4,9,0,0,0,4,0.107,0.148,0.107,0.255,-33,131,112,4.32,108,1.391,344,306,1,2075.1,2111,269,775,1290,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,3,0.214285714285714,0,0,0,0,0,0,1,0,0,0,2010,1,539
Shane Reynolds,18,12,13,15.9,17.8,16.8,57.9,306,546,34,77,5,43,0,14,0.141,0.165,0.196,0.361,-5,114,96,4.09,103,1.314,305,278,0,1791.2,1935,191,419,1403,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,1,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,2010,0,539
Michael Jackson,52,11,17,17.7,13.2,15.5,32.3,1005,28,3,5,0,1,0,1,0.179,0.207,0.25,0.457,21,62,67,3.42,126,1.218,1005,7,142,1188.1,983,127,464,1006,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,0,539
Ray Lankford,23,26,14,35.7,29.9,32.8,54.8,1701,5747,968,1561,238,874,258,828,0.272,0.364,0.477,0.84,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*7/D9,0,0,0,0,CF,0,0,0,1,0,0,0,0,0,0,1,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,2010,0,539
Todd Zeile,14,27,16,16,12.2,14.1,53.4,2158,7573,986,2004,253,1110,53,945,0.265,0.346,0.423,0.769,104,0,0,22.5,27,3.5,2,0,0,2,5,0,2,1,*5*32/D71,0,0,0,0,3B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,0,539
Rickey Henderson,181,53,25,106.8,54.4,80.6,50.7,3081,10961,2295,3055,297,1115,1406,2190,0.279,0.401,0.419,0.82,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7*8D/9,0,0,0,0,LF,0,0,1,0,0,0,0,0,0,0,10,0.4,0,1,0,0,1,0,0,0,0,0,2009,511,539
Mark Grace,60,38,16,43,28.4,35.7,51.5,2245,8065,1179,2445,173,1146,70,1075,0.303,0.383,0.442,0.825,119,0,0,9,67,1,1,0,0,1,1,1,0,0,*3/D1,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,3,0.1875,0,0,1,0,0,0,0,0,0,0,2009,22,539
David Cone,103,39,17,58.8,38.4,48.6,57.9,451,412,28,64,0,22,0,16,0.155,0.192,0.177,0.369,6,194,126,3.46,121,1.256,450,419,1,2898.2,2504,258,1137,2668,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,5,0.294117647058824,0,0,0,0,0,0,1,0,0,0,2009,21,539
Matt Williams,70,29,17,43.5,32.1,37.8,53.4,1866,7000,997,1878,378,1218,53,469,0.268,0.317,0.489,0.805,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*56/3D,0,0,0,0,3B,0,0,0,0,0,1,0,0,0,0,5,0.294117647058824,1,0,1,0,0,0,0,0,0,0,2009,7,539
Mo Vaughn,86,30,12,24.5,25.3,24.9,51.5,1512,5532,861,1620,328,1064,30,725,0.293,0.383,0.523,0.906,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,3,0.25,1,0,0,0,1,0,0,0,0,0,2009,6,539
Jay Bell,30,30,18,34.1,30.1,32.1,52.1,2063,7398,1123,1963,195,860,91,853,0.265,0.343,0.416,0.759,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6*45/3D,0,0,0,0,SS,0,0,0,0,0,0,0,1,0,0,2,0.111111111111111,0,1,0,0,0,0,0,0,0,0,2009,2,539
Jesse Orosco,61,13,24,22.2,17.1,19.6,32.3,1252,59,3,10,0,4,0,8,0.169,0.261,0.169,0.43,23,87,80,3.16,126,1.263,1252,4,144,1295.1,1055,113,581,1179,*1/9,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,2,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,2009,1,539
Ron Gant,44,26,16,31.2,24.9,28.1,50.7,1832,6449,1080,1651,321,1008,243,770,0.256,0.336,0.468,0.803,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7845D/9,0,0,0,0,LF,0,0,1,0,0,0,0,0,0,0,2,0.125,0,0,0,0,0,0,0,0,0,0,2009,0,539
Greg Vaughn,51,25,15,27.7,25.2,26.5,50.7,1731,6103,1017,1475,355,1072,121,865,0.242,0.337,0.47,0.807,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7*D/89,0,0,0,0,LF,0,0,1,0,0,0,0,0,0,0,4,0.266666666666667,0,0,0,0,0,0,0,0,0,0,2009,0,539
Dan Plesac,54,8,18,15.9,13.2,14.6,32.3,1064,15,0,1,0,0,0,0,0.067,0.067,0.067,0.133,-65,65,71,3.64,117,1.286,1064,14,158,1072,977,105,402,1041,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,3,0.166666666666667,0,0,0,0,0,0,0,0,0,0,2009,0,539
Tim Raines,90,47,23,66.2,41.1,53.7,50.7,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*78D4/9,0,0,0,0,LF,0,0,1,0,0,0,0,0,0,0,7,0.304347826086957,0,0,0,0,0,0,0,0,0,0,2008,132,543
Robb Nen,92,15,10,14.4,14.5,14.5,32.3,643,15,0,1,0,0,0,0,0.067,0.067,0.067,0.133,-64,45,42,2.98,139,1.213,643,4,314,715,607,51,260,793,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,2008,2,543
Travis Fryman,36,26,13,31.2,26.4,28.8,53.4,1698,6481,895,1776,223,1022,72,602,0.274,0.336,0.443,0.779,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*5*6/D3,0,0,0,0,3B,0,0,0,0,0,1,0,0,0,0,5,0.384615384615385,0,1,0,0,0,0,0,0,0,0,2008,2,543
Rod Beck,63,13,13,10.7,11,10.9,32.3,704,19,0,4,0,1,0,0,0.211,0.211,0.211,0.421,16,38,45,3.3,124,1.164,704,0,286,768,703,97,191,644,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,3,0.230769230769231,0,0,0,0,0,0,0,0,0,0,2008,2,543
Todd Stottlemyre,15,13,14,20.5,18.6,19.5,57.9,373,242,23,50,1,11,1,28,0.207,0.289,0.256,0.545,44,138,121,4.28,100,1.376,372,339,1,2191.2,2200,246,816,1587,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,1,543
David Justice,42,29,14,37.6,26.1,31.8,55.4,1610,5625,929,1571,305,1017,53,903,0.279,0.378,0.5,0.878,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*D*73/8,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,3,0.214285714285714,1,0,0,0,0,0,0,0,0,0,2008,1,543
Chuck Knoblauch,68,33,12,42,37,39.5,54.4,1632,6366,1132,1839,98,615,407,804,0.289,0.378,0.406,0.783,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*47D/68,0,0,0,0,2B,0,0,0,0,0,0,1,0,0,0,4,0.333333333333333,1,1,0,0,0,0,0,0,1,0,2008,1,543
Shawon Dunston,14,18,18,9.1,10,9.6,52.1,1814,5927,736,1597,150,668,212,203,0.269,0.296,0.416,0.712,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6789/43D5,0,0,0,0,SS,0,0,0,0,0,0,0,1,0,0,2,0.111111111111111,0,0,0,0,0,0,0,0,0,0,2008,1,543
Chuck Finley,54,27,17,53.7,37.5,45.6,57.9,524,53,3,3,0,1,0,0,0.057,0.057,0.075,0.132,-66,200,173,3.85,115,1.376,524,467,0,3197.1,3069,304,1332,2610,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,5,0.294117647058824,0,0,0,0,0,0,0,0,0,0,2008,1,543
Brady Anderson,38,26,15,32.2,28.7,30.4,54.8,1834,6499,1062,1661,210,761,315,960,0.256,0.362,0.425,0.787,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*79D,0,0,0,0,CF,0,0,0,1,0,0,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,2008,0,543
Cal Ripken,236,58,21,90.9,54.6,72.8,52.1,3001,11551,1647,3184,431,1695,36,1129,0.276,0.34,0.447,0.788,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6*5/D,0,0,0,0,SS,0,0,0,0,0,0,0,1,0,0,19,0.904761904761905,0,0,1,0,0,1,0,0,1,1,2007,537,545
Tony Gwynn,279,54,20,65.3,39.6,52.5,55.4,2440,9288,1383,3141,135,1138,319,790,0.338,0.388,0.459,0.847,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*987/D,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,15,0.75,0,0,1,0,0,0,0,0,0,1,2007,532,545
Mark McGwire,170,42,16,58.7,40.1,49.4,51.5,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D/59,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,12,0.75,0,1,0,0,0,0,0,0,1,0,2007,128,545
Harold Baines,66,44,22,34,19.9,26.9,55.4,2830,9908,1299,2866,384,1628,34,1062,0.289,0.356,0.465,0.82,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*D*98/7,0,0,0,0,DH,0,0,0,0,0,0,0,0,1,0,6,0.272727272727273,0,0,0,0,0,0,0,0,0,0,2007,29,545
Paul O'Neill,71,37,17,35.2,25.4,30.3,55.4,2053,7318,1041,2105,281,1269,141,892,0.288,0.363,0.47,0.833,120,0,0,13.5,37,3,1,0,0,2,2,1,4,2,*97/3D81,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,5,0.294117647058824,0,0,0,0,0,0,0,0,0,0,2007,12,545
Bret Saberhagen,70,32,16,56,41.4,48.7,57.9,403,190,13,23,0,1,0,13,0.121,0.177,0.142,0.319,-13,167,117,3.34,126,1.141,399,371,1,2562.2,2452,218,471,1715,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,3,0.1875,0,1,0,0,0,0,0,1,0,0,2007,7,545
Jose Canseco,103,39,17,39.2,28.2,33.7,55.4,1887,7057,1186,1877,462,1407,200,906,0.266,0.353,0.515,0.867,132,0,0,27,21,5,1,0,0,1,2,0,3,0,*D*9*7/81,0,0,0,0,DH,0,0,0,0,0,0,0,0,1,0,6,0.352941176470588,1,0,0,0,1,0,0,0,1,0,2007,6,545
Tony Fernandez,75,32,17,42,29,35.5,52.1,2158,7911,1057,2276,94,844,246,690,0.288,0.347,0.399,0.746,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6*54/D,0,0,0,0,SS,0,0,0,0,0,0,0,1,0,0,5,0.294117647058824,0,0,1,0,0,0,0,0,0,0,2007,4,545
Dante Bichette,82,31,14,3,6.3,4.7,55.4,1704,6381,934,1906,274,1141,152,355,0.299,0.336,0.499,0.835,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*7D8/5,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,4,0.285714285714286,0,0,0,0,0,0,0,0,0,0,2007,3,545
Eric Davis,24,27,17,33.4,28.3,30.8,54.8,1626,5321,938,1430,282,934,349,740,0.269,0.359,0.482,0.841,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*7*9D/3,0,0,0,0,CF,0,0,0,1,0,0,0,0,0,0,2,0.117647058823529,0,0,1,0,0,0,0,0,0,0,2007,3,545
Ken Caminiti,38,25,15,30.9,28.4,29.6,53.4,1760,6288,894,1710,239,983,88,727,0.272,0.347,0.447,0.794,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*53/D,0,0,0,0,3B,0,0,0,0,0,1,0,0,0,0,3,0.2,0,0,1,0,1,0,0,0,0,0,2007,2,545
Bobby Bonilla,64,32,16,27.1,25.1,26.1,53.4,2113,7213,1084,2010,287,1173,45,912,0.279,0.358,0.472,0.829,124,0,0,18,32,4,1,0,0,1,3,1,1,0,*5*973D/81,0,0,0,0,3B,0,0,0,0,0,1,0,0,0,0,6,0.375,0,0,0,0,0,0,0,0,0,0,2007,2,545
Jay Buhner,35,26,15,20,17.1,18.5,55.4,1472,5013,798,1273,310,965,6,792,0.254,0.359,0.494,0.852,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9D8/73,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,1,0.0666666666666667,0,1,0,0,0,0,0,0,0,0,2007,1,545
Devon White,39,21,17,44.2,33.8,39,54.8,1941,7344,1125,1934,208,846,346,541,0.263,0.319,0.419,0.739,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*897/D,0,0,0,0,CF,0,0,0,1,0,0,0,0,0,0,3,0.176470588235294,0,0,0,1,0,0,0,0,0,0,2007,0,545
Scott Brosius,19,12,11,13.6,14.4,14,53.4,1146,3889,544,1001,141,531,57,348,0.257,0.323,0.422,0.744,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*598367/4D,0,0,0,0,3B,0,0,0,0,0,1,0,0,0,0,1,0.0909090909090909,0,1,0,0,0,0,0,0,0,0,2007,0,545
Wally Joyner,28,25,16,32.2,21.9,27.1,51.5,2033,7127,973,2060,204,1106,60,833,0.289,0.362,0.44,0.802,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,1,0.0625,1,0,0,0,0,0,0,0,0,0,2007,0,545
Bobby Witt,7,11,16,11.8,13.7,12.7,57.9,438,64,2,9,1,5,0,2,0.141,0.164,0.234,0.399,2,142,157,4.83,91,1.569,430,397,0,2465,2493,252,1375,1955,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,0,545
Orel Hershiser,90,34,18,52.7,38.4,45.5,57.9,521,810,65,163,0,50,8,27,0.201,0.23,0.242,0.472,31,204,150,3.48,112,1.261,510,466,5,3130.1,2939,235,1007,2014,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,3,0.166666666666667,0,1,0,0,0,0,1,0,0,0,2006,58,520
Albert Belle,135,36,12,36.9,34,35.4,50.7,1539,5853,974,1726,381,1239,88,683,0.295,0.369,0.564,0.933,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*79D,0,0,0,0,LF,0,0,1,0,0,0,0,0,0,0,5,0.416666666666667,0,0,0,0,0,0,0,0,0,0,2006,40,520
Will Clark,84,42,15,53.2,34,43.6,51.5,1976,7173,1186,2176,284,1205,67,937,0.303,0.384,0.497,0.88,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,6,0.4,0,1,0,0,0,0,0,0,0,0,2006,23,520
Dwight Gooden,88,40,16,50.1,37.2,43.7,57.9,434,741,60,145,8,67,1,14,0.196,0.212,0.262,0.474,32,194,112,3.51,111,1.256,430,410,3,2800.2,2564,210,954,2293,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,4,0.25,0,0,0,0,0,0,1,0,1,0,2006,17,520
Ozzie Guillen,31,17,16,17.7,17.6,17.6,52.1,1993,6686,773,1764,28,619,169,239,0.264,0.287,0.338,0.626,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6/534D7,0,0,0,0,SS,0,0,0,0,0,0,0,1,0,0,3,0.1875,0,1,0,0,0,0,0,0,1,0,2006,5,520
Hal Morris,23,18,13,11.4,12,11.7,51.5,1246,3998,535,1216,76,513,45,356,0.304,0.361,0.433,0.794,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*37D/9,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2006,5,520
Gary Gaetti,52,30,20,38,23,30.5,53.4,2507,8951,1130,2280,360,1341,96,634,0.255,0.308,0.434,0.741,97,0,0,7.71,82,2.571,3,0,0,2.1,5,1,1,1,*53D/67149,0,0,0,0,3B,0,0,0,0,0,1,0,0,0,0,2,0.1,0,0,1,0,0,0,0,0,0,0,2006,4,520
John Wetteland,93,18,12,18.5,16.3,17.4,32.3,618,42,4,7,1,8,0,0,0.167,0.167,0.286,0.452,24,48,45,2.93,148,1.135,618,17,330,765,616,73,252,804,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,3,0.25,0,0,0,0,0,0,0,0,0,0,2006,4,520
Rick Aguilera,89,12,16,20.4,13,16.7,32.3,737,139,12,28,3,11,0,6,0.201,0.234,0.288,0.522,45,86,81,3.57,118,1.227,732,89,318,1291.1,1233,138,351,1030,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,3,0.1875,0,0,0,0,0,0,0,0,0,0,2006,3,520
Gregg Jefferies,19,17,14,17,14.7,15.9,51.5,1465,5520,761,1593,126,663,196,472,0.289,0.344,0.421,0.765,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*7*45D,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,2,0.142857142857143,0,0,0,0,0,0,0,0,0,0,2006,2,520
Doug Jones,79,11,16,19.9,18.2,19.1,32.3,846,7,0,1,0,0,0,1,0.143,0.25,0.143,0.393,12,69,79,3.3,129,1.243,846,4,303,1128.1,1155,86,247,909,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,5,0.3125,0,0,0,0,0,0,0,0,0,0,2006,2,520
Walt Weiss,29,20,14,14.6,15.1,14.8,52.1,1495,4686,623,1207,25,386,96,658,0.258,0.351,0.326,0.677,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6/D,0,0,0,0,SS,0,0,0,0,0,0,0,1,0,0,1,0.0714285714285714,0,0,0,0,0,0,0,0,1,0,2006,1,520
Gary Disarcina,4,15,12,9.3,10.1,9.7,52.1,1086,3744,444,966,28,355,47,154,0.258,0.292,0.341,0.633,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6/45,0,0,0,0,SS,0,0,0,0,0,0,0,1,0,0,1,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,2006,0,520
Alex Fernandez,12,13,10,26.5,25.3,25.9,57.9,266,126,7,22,3,14,0,9,0.175,0.228,0.31,0.537,41,107,87,3.74,115,1.275,263,261,0,1760.1,1693,190,552,1252,1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,520
Wade Boggs,268,58,18,88.3,55.5,71.9,53.4,2440,9180,1513,3010,118,1014,24,1412,0.328,0.415,0.443,0.858,131,0,0,3.86,157,1.714,2,0,0,2.1,3,0,1,2,*5D3/17,0,0,0,0,3B,0,0,0,0,0,1,0,0,0,0,12,0.666666666666667,0,0,1,0,0,0,0,0,0,0,2005,474,516
Willie McGee,84,23,18,30.9,26.1,28.5,54.8,2201,7649,1010,2254,79,856,352,448,0.295,0.333,0.396,0.729,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*97/3D6,0,0,0,0,CF,0,0,0,1,0,0,0,0,0,0,4,0.222222222222222,0,0,1,0,1,0,0,0,0,0,2005,26,516
Jim Abbott,6,3,10,17.5,20.5,19,57.9,263,21,0,2,0,3,0,0,0.095,0.095,0.095,0.19,-51,87,108,4.25,99,1.433,263,254,0,1674,1779,154,620,888,1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,13,516
Darryl Strawberry,56,30,17,39.2,32.9,36,55.4,1583,5418,898,1401,335,1000,221,816,0.259,0.357,0.505,0.862,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9D78,0,0,0,0,RF,0,1,0,0,0,0,0,0,0,0,8,0.470588235294118,0,0,0,0,0,0,0,0,1,0,2005,6,516
Jack McDowell,36,18,12,25.6,23.1,24.4,57.9,277,0,0,0,0,0,0,0,0,0,0,0,0,127,87,3.85,111,1.302,277,275,0,1889,1854,173,606,1311,1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,3,0.25,0,0,0,0,0,0,1,0,0,0,2005,4,516
Chili Davis,30,39,19,34.2,23.1,28.7,54.8,2436,8673,1240,2380,350,1372,142,1194,0.274,0.36,0.451,0.811,121,0,0,0,NA,0,1,0,0,2,0,0,0,0,*D*8*97/31,0,0,0,0,DH,0,0,0,0,0,0,0,0,1,0,3,0.157894736842105,0,0,0,0,0,0,0,0,0,0,2005,3,516
Tom Candiotti,12,17,16,38.3,29.7,34,57.9,452,299,11,35,0,12,0,7,0.117,0.14,0.134,0.273,-24,151,164,3.73,108,1.301,451,410,0,2725,2662,250,883,1735,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2,516
Jeff Montgomery,74,12,13,19.5,18.3,18.9,32.3,700,2,0,0,0,0,0,0,0,0,0,0,-100,46,52,3.27,135,1.244,700,1,304,868.2,785,81,296,733,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,3,0.230769230769231,0,0,0,0,0,0,0,0,0,0,2005,2,516
Terry Steinbach,47,25,14,25.4,20.2,22.8,40.7,1546,5369,638,1453,162,745,23,418,0.271,0.326,0.42,0.746,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2D3/597,0,0,0,0,C,0,0,0,0,1,0,0,0,0,0,3,0.214285714285714,0,0,0,0,0,0,0,0,0,0,2005,1,516
