Name,Year,GS,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
Al Simmons,1933,as CF,1,4,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
Al Smith,1960 (2),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Smith,1960 (1),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Smith,1955,,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5
Al Smith,1943,,0,,,,,,,,,,,,,,,,
Al Zarilla,1948,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Trammell,1990,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Trammell,1988,,0,,,,,,,,,,,,,,,,
Alan Trammell,1987,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Trammell,1985,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Trammell,1984,,0,,,,,,,,,,,,,,,,
Alan Trammell,1980,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Albert Belle,1997,,0,,,,,,,,,,,,,,,,
Albert Belle,1996,as LF,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Albert Belle,1995,as LF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Albert Belle,1994,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Belle,1993,,1,2,1,2,1,0,0,0,1,0,0,1,0,1,1,1,2
Albert Pujols,2010,as 1B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Albert Pujols,2009,as 1B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Pujols,2008,as DH,1,3,3,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333
Albert Pujols,2007,,0,,,,,,,,,,,,,,,,
Albert Pujols,2006,as 1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Albert Pujols,2005,as DH,1,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
Albert Pujols,2004,as 1B,1,3,3,1,2,2,0,0,2,0,0,0,0,0.667,0.667,1.333,2
Albert Pujols,2003,as LF,1,3,3,0,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.667
Albert Pujols,2001,,1,1,0,0,0,0,0,0,0,0,0,1,0,,1,,
Albie Pearson,1963,as CF,1,4,4,1,2,1,0,0,0,0,0,0,1,0.5,0.5,0.75,1.25
Alex Avila,2011,as C,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Gonzalez,1999,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Gordon,2013,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Johnson,1970,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Kellner,1949,,0,,,,,,,,,,,,,,,,
Alex Rios,2007,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Alex Rios,2006,,0,,,,,,,,,,,,,,,,
Alex Rodriguez,2011,,0,,,,,,,,,,,,,,,,
Alex Rodriguez,2010,,0,,,,,,,,,,,,,,,,
Alex Rodriguez,2008,as 3B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alex Rodriguez,2007,as 3B,1,3,3,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667
Alex Rodriguez,2006,as 3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Rodriguez,2005,as 3B,1,3,2,1,1,0,0,0,0,0,0,1,0,0.5,0.667,0.5,1.167
Alex Rodriguez,2004,as 3B,1,3,3,0,1,0,1,0,1,0,0,0,1,0.333,0.333,1,1.333
Alex Rodriguez,2003,as SS,1,3,3,1,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667
Alex Rodriguez,2002,as SS,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Alex Rodriguez,2001,as 3B,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Alex Rodriguez,2000,,0,,,,,,,,,,,,,,,,
Alex Rodriguez,1998,as SS,1,3,3,2,2,0,0,1,1,0,0,0,1,0.667,0.667,1.667,2.333
Alex Rodriguez,1997,as SS,1,3,3,0,1,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667
Alex Rodriguez,1996,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexi Ogando,2011,,1,,,,,,,,,,,,,,,,
Alfonso Soriano,2008,,0,,,,,,,,,,,,,,,,
Alfonso Soriano,2007,,1,3,3,1,1,0,0,1,2,0,0,0,1,0.333,0.333,1.333,1.667
